match_id,innings,over_mark,runs_so_far,wickets_down,current_run_rate,balls_since_boundary,final_score,batting_team
71770614,1,6,43,1,7.166666666666667,0,160,Barbados Royals SRL
71770614,2,6,28,1,4.666666666666667,0,161,Trinbago Knight Riders SRL
71770616,1,6,36,2,6.0,0,156,St Lucia Kings SRL
71770616,2,6,31,2,5.166666666666667,0,160,Antigua And Barbuda Falcons SRL
71770618,1,6,43,2,7.166666666666667,0,135,St Kitts And Nevis Patriots SRL
71770618,2,6,53,1,8.833333333333334,0,138,Guyana Amazon Warriors SRL
71770620,1,6,48,1,8.0,0,170,Antigua And Barbuda Falcons SRL
71770620,2,6,34,4,5.666666666666667,0,141,Barbados Royals SRL
71770622,1,6,39,1,6.5,0,161,St Lucia Kings SRL
71770622,2,6,58,1,9.666666666666666,0,152,St Kitts And Nevis Patriots SRL
71770626,1,6,37,2,6.166666666666667,0,174,St Lucia Kings SRL
71770626,2,6,41,0,6.833333333333333,0,175,Barbados Royals SRL
71770628,1,6,47,0,7.833333333333333,0,154,Antigua And Barbuda Falcons SRL
71770628,2,6,21,3,3.5,0,108,Guyana Amazon Warriors SRL
71770630,1,6,49,2,8.166666666666666,0,170,Trinbago Knight Riders SRL
71770630,2,6,60,0,10.0,0,171,St Kitts And Nevis Patriots SRL
71770632,1,6,72,1,12.0,0,248,Guyana Amazon Warriors SRL
71770632,2,6,30,2,5.0,0,158,Barbados Royals SRL
71770634,1,6,36,2,6.0,0,127,St Kitts And Nevis Patriots SRL
71770634,2,6,52,3,8.666666666666666,0,128,Antigua And Barbuda Falcons SRL
71770636,1,6,33,2,5.5,0,150,St Lucia Kings SRL
71770636,2,6,50,1,8.333333333333334,0,153,Trinbago Knight Riders SRL
71770638,1,6,29,3,4.833333333333333,0,156,Barbados Royals SRL
71770638,2,6,62,1,10.333333333333334,0,159,St Kitts And Nevis Patriots SRL
71770640,1,6,37,2,6.166666666666667,0,111,Antigua And Barbuda Falcons SRL
71770640,2,6,25,1,4.166666666666667,0,114,Trinbago Knight Riders SRL
71770642,1,6,41,2,6.833333333333333,0,156,Guyana Amazon Warriors SRL
71770642,2,6,30,4,5.0,0,107,St Lucia Kings SRL
71932590,1,6,52,0,8.666666666666666,0,225,Pakistan SRL
71932590,2,6,65,2,10.833333333333334,0,195,West Indies SRL
71932592,1,6,70,1,11.666666666666666,0,209,Afghanistan SRL
71932592,2,6,40,2,6.666666666666667,0,170,New Zealand SRL
71932594,1,6,33,2,5.5,0,154,South Africa SRL
71932594,2,6,48,2,8.0,0,156,Pakistan SRL
71932596,1,6,55,1,9.166666666666666,0,179,England SRL
71932596,2,6,54,2,9.0,0,180,India SRL
71932600,1,6,65,0,10.833333333333334,0,181,Otago SRL
71932600,2,6,43,2,7.166666666666667,0,147,Northern Districts SRL
71932602,1,6,39,2,6.5,0,157,Northern Districts SRL
71932602,2,6,30,4,5.0,0,143,Central Districts SRL
71932604,1,6,52,1,8.666666666666666,0,208,Auckland SRL
71932604,2,6,52,4,8.666666666666666,0,138,Northern Districts SRL
71932606,1,6,48,0,8.0,0,182,Wellington SRL
71932606,2,6,49,1,8.166666666666666,0,144,Central Districts SRL
71932608,1,6,55,2,9.166666666666666,0,165,Auckland SRL
71932608,2,6,64,0,10.666666666666666,0,166,Wellington SRL
71932610,1,6,51,3,8.5,0,185,Punjab Kings SRL
71932610,2,6,45,0,7.5,0,186,Chennai Super Kings SRL
71932612,1,6,71,1,11.833333333333334,0,215,Royal Challengers Bangalore SRL
71932612,2,6,62,0,10.333333333333334,0,216,Delhi Capitals SRL
71932614,1,6,64,1,10.666666666666666,0,200,Gujarat Titans SRL
71932614,2,6,51,0,8.5,0,181,Rajasthan Royals SRL
71932616,1,6,35,2,5.833333333333333,0,176,Punjab Kings SRL
71932616,2,6,17,3,2.8333333333333335,0,99,Kolkata Knight Riders SRL
71932618,1,6,54,0,9.0,0,204,Lucknow Super Giants SRL
71932618,2,6,41,0,6.833333333333333,0,181,Mumbai Indians SRL
71932634,1,6,38,3,6.333333333333333,0,187,Guyana Amazon Warriors SRL
71932634,2,6,38,4,6.333333333333333,0,143,Barbados Royals SRL
71932636,1,6,39,0,6.5,0,162,St Kitts And Nevis Patriots SRL
71932636,2,6,48,1,8.0,0,165,Antigua And Barbuda Falcons SRL
71932638,1,6,39,1,6.5,0,178,Trinbago Knight Riders SRL
71932638,2,6,65,2,10.833333333333334,0,180,St Lucia Kings SRL
71932640,1,6,42,2,7.0,0,121,St Kitts And Nevis Patriots SRL
71932640,2,6,54,0,9.0,0,122,Barbados Royals SRL
71932642,1,6,50,0,8.333333333333334,0,161,Trinbago Knight Riders SRL
71932642,2,6,46,1,7.666666666666667,0,140,Antigua And Barbuda Falcons SRL
71932644,1,6,66,2,11.0,0,205,St Lucia Kings SRL
71932644,2,6,44,2,7.333333333333333,0,169,Guyana Amazon Warriors SRL
71932646,1,6,50,1,8.333333333333334,0,188,Trinbago Knight Riders SRL
71932646,2,6,45,2,7.5,0,169,Barbados Royals SRL
71932648,1,6,20,3,3.3333333333333335,0,134,St Lucia Kings SRL
71932648,2,6,31,2,5.166666666666667,0,136,Antigua And Barbuda Falcons SRL
71932650,1,6,61,1,10.166666666666666,0,185,St Kitts And Nevis Patriots SRL
71932650,2,6,57,0,9.5,0,171,Guyana Amazon Warriors SRL
71932652,1,6,65,1,10.833333333333334,0,180,Antigua And Barbuda Falcons SRL
71932652,2,6,48,0,8.0,0,133,Barbados Royals SRL
71932654,1,6,49,3,8.166666666666666,0,142,St Lucia Kings SRL
71932654,2,6,46,1,7.666666666666667,0,144,St Kitts And Nevis Patriots SRL
71932656,1,6,33,2,5.5,0,154,Guyana Amazon Warriors SRL
71932656,2,6,33,2,5.5,0,158,Trinbago Knight Riders SRL
71932658,1,6,37,2,6.166666666666667,0,135,St Lucia Kings Srl
71932658,2,6,40,2,6.666666666666667,0,137,Barbados Royals Srl
71932662,1,6,63,0,10.5,0,219,Barbados Royals Srl
71932662,2,6,67,1,11.166666666666666,0,215,Guyana Amazon Warriors Srl
71932696,1,6,51,0,8.5,0,214,Sunrisers Hyderabad SRL
71932696,2,6,67,1,11.166666666666666,0,216,Chennai Super Kings SRL
71932698,1,6,29,2,4.833333333333333,0,194,Delhi Capitals SRL
71932698,2,6,66,0,11.0,0,195,Royal Challengers Bangalore SRL
71932700,1,6,41,3,6.833333333333333,0,160,Gujarat Titans SRL
71932700,2,6,39,2,6.5,0,157,Rajasthan Royals SRL
